case_id,judgment_date,judgment_year,court_name,case_number,case_name,domain,n_chars,mu_F,mu_T,pi_V,pi_C,pi_H,pi_M,H_star,mu_total,pi_total,lambda_E,lambda_M,lambda_P,sa_survey,sa_stat,sa_norm,mu_LS,has_sa_any,post_minpou_2020,court_layer,period,pi_C_v2,mu_T_v2,pi_V_v2,pi_total_v2,mu_total_v2
085645_hanrei,2015-06-10,2015,原審・東京地方裁判所,平成27年(ネ)第10044号,職務発明対価請求控訴事件,civil,39093,0.051160054229657484,0.0,0.025580027114828742,0.0,0.0,0.10232010845931497,0.0,0.051160054229657484,0.1279001355741437,0.16666666666666666,0.7499999999999999,0.08333333333333333,0.0,0.7674008134448622,0.025580027114828742,0.792980840559691,1,0,district,2015-2019,0.10232010845931497,2.0464021691862992,1.3045813828562658,1.509221599774896,2.0975622234159568
084338_hanrei,2015-04-09,2015,原審・東京地方裁判所,平成26年(ネ)第10135号,損害賠償請求控訴事件,civil,10122,0.09879470460383323,0.0,0.0,0.0,0.0,0.0,0.0,0.09879470460383323,0.0,0.0,0.75,0.25,0.0,0.19758940920766646,0.0,0.19758940920766646,1,0,district,2015-2019,0.09879470460383323,0.0,0.09879470460383323,0.19758940920766646,0.09879470460383323
085559_hanrei,2015-11-02,2015,知的財産高等裁判所,平成26年(行ケ)第10198号,審決取消請求事件,commercial,11264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.33333333333333337,0.0,0.0,0.6214488636363636,0.6214488636363636,1,0,ip_high,2015-2019,0.08877840909090909,0.17755681818181818,0.08877840909090909,0.17755681818181818,0.17755681818181818
085659_hanrei,2015-09-09,2015,千葉地方裁判所,平成25年(ワ)第953号,損害賠償請求事件,civil,34508,0.1159151501101194,0.02897878752752985,0.0579575750550597,0.0,0.08693636258258955,0.0579575750550597,0.1159151501101194,0.14489393763764924,0.20285151269270893,0.4838709677419355,0.19354838709677422,0.3225806451612903,0.0,0.14489393763764924,0.6954909006607164,0.8403848382983656,1,0,district,2015-2019,0.1159151501101194,0.376724237857888,2.868899965225455,3.129709052973223,0.4926393879680074
085588_hanrei,2015-11-20,2015,地方裁判所,平成27年(ワ)第6058号,著作権侵害差止等請求事件,civil,17928,0.055778670236501564,0.11155734047300313,0.0,0.0,0.0,0.0,0.0,0.16733601070950468,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.11155734047300313,0.0,0.11155734047300313,1,0,district,2015-2019,0.11155734047300313,0.33467202141900937,0.16733601070950468,0.2788933511825078,0.39045069165551094
085735_hanrei,2015-10-21,2015,地方裁判所,平成25年(ワ)第10807号,損害賠償請求事件,civil,76714,0.026070860599108375,0.0,0.0,0.0,0.0,0.0,0.0,0.026070860599108375,0.0,0.06349206349206349,0.7428571428571429,0.19365079365079366,0.0,0.026070860599108375,0.0,0.026070860599108375,1,0,district,2015-2019,0.013035430299554188,0.06517715149777094,0.026070860599108375,0.03910629089866256,0.09124801209687931
085604_hanrei,2015-09-17,2015,判決名古屋高等裁判所,平成26年(行コ)第68号,木曽川水系連絡導水路事業公金支出差止請求控訴事件,administrative,20928,0.047782874617737,0.0,0.0,0.0,0.143348623853211,0.143348623853211,0.0,0.047782874617737,0.286697247706422,0.0,0.9716981132075471,0.028301886792452827,0.0,0.143348623853211,0.716743119266055,0.8600917431192661,1,0,high,2015-2019,1.099006116207951,0.9078746177370031,0.716743119266055,2.1024464831804277,0.9556574923547401
085608_hanrei,2015-09-29,2015,原審・東京地方裁判所,平成27年(ネ)第10069号,売買代金請求控訴事件,civil,63361,0.04734773756727324,0.04734773756727324,0.0,0.0,0.0,0.0,0.0,0.09469547513454649,0.0,0.125,0.625,0.25,0.0,0.14204321270181974,0.04734773756727324,0.18939095026909297,1,0,district,2015-2019,0.01578257918909108,0.45769479648364136,0.14204321270181974,0.15782579189091084,0.5050425340509146
085913_hanrei,2015-09-04,2015,地方裁判所,平成26年(ワ)25196号,特許権侵害行為差止等請求事件,commercial,22002,0.04545041359876375,0.0,0.0,0.0,0.22725206799381875,0.04545041359876375,0.0,0.04545041359876375,0.2727024815925825,1.0,0.0,0.0,0.0,0.0909008271975275,0.0,0.0909008271975275,1,0,district,2015-2019,0.04545041359876375,0.22725206799381875,0.13635124079629124,0.45450413598763745,0.2727024815925825
085548_hanrei,2015-12-14,2015,最高裁判所第三小法廷,平成27年(し)第401号,検察官がした刑事確定訴訟記録の閲覧申出一部不許可処分に対する準抗告の決定に対する特別抗告事件,criminal,2269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0,0,supreme,2015-2019,0.0,0.881445570736007,0.4407227853680035,0.4407227853680035,0.881445570736007
